"Clear cache", "مسح ذاكرة التخزين المؤقت"
"Back", "مرة أخرى"
"Delete Bannner", "حذف Bannner"
"Save Banner", "حفظ راية"
"Delete Carousel", "حذف دائري"
"Save Carousel", "حفظ دائري"
"ID", "معرف"
"Thumbnail", "الصور المصغرة"
"Title", "العنوان"
"Status", "حالة"
"Enabled", "تمكين"
"Disabled", "تعطيل"
"Select", "حدد"
"Product Name", "اسم المنتج"
"Product Type", "نوع المنتج"
"Visibility", "الرؤية"
"Quantity", "الكمية"
"Delete Image", "حذف صورة"
"Save Image", "حفظ الصورة"
"Delete Category Image", "حذف فئة الصورة"
"Save Category Image", "حفظ فئة الصورة"
"Delete Featured Category", "حذف الفئة المميزة"
"Save Featured Category", "حفظ الفئة المميزة"
"Delete Notification", "بمجرد الإخطار"
"Push Notification", "إعلام دفع"
"Save Notification", "حفظ الاشعار"
"Reset", "إعادة تعيين"
"Save and Continue Edit", "حفظ ومتابعة تحرير"
"Name", "اسم"
"Name in %1", "الاسم في %1"
"SKU", "الكود"
"Price", "السعر"
"Banner could not be deleted.", "لافتة لا يمكن حذفها."
"Banner has been deleted.", "لافتة قد تم حذفه."
"Requested banner doesn't exist", "طلب راية لا وجود لها"
"Something went wrong while editing the banner.", "حدث خطأ أثناء تحرير راية."
"Edit Item with id %1", "تعديل البند مع معرف %1"
"New Banner", "جديدة لافتة ، "
"Banner Image", "صورة لافتة"
"Manage Banner", "إدارة الصور راية"
"A total of %1 record(s) were deleted.", "مجموع من %1 سجل(s) تم حذفها."
"A total of %1 record(s) were disabled.", "مجموع من %1 سجل(s) تم تعطيلها."
"A total of %1 record(s) were enabled.", "مجموع من %1 سجل(s) تمكين."
"You saved the banner.", "أنقذت راية."
"Something went wrong while saving the banner. %1", "حدث خطأ أثناء حفظ راية. %1"
"Please upload banner image.", "يرجى تحميل صورة الشعار."
"File can not be saved to the destination folder.", "الملف لا يمكن حفظها إلى مجلد الوجهة."
"Sort order should be a number.", "ترتيب الفرز يجب أن يكون عددا."
"Sort order field can not be blank.", "ترتيب الحقل لا يمكن أن تكون فارغة."
"Requested product doesn't exist", "المنتج المطلوب غير موجود"
"Requested category doesn't exist", "الفئة المطلوبة غير موجودة"
"Banner type or id should be set.", "لافتة نوع أو معرف."
"Carousel could not be deleted.", "دائري لا يمكن حذفها."
"Carousel has been deleted.", "دائري قد تم حذفه."
"Requested carousel doesn't exist", "طلب دائري لا وجود لها"
"Something went wrong while editing the carousel.", "حدث خطأ أثناء تحرير دائري."
"New Carousel", "جديد دائري"
"Manage Carousel", "إدارة دائري"
"You saved the carousel.", "أنقذت دائري."
"Something went wrong while saving the carousel. %1", "حدث خطأ أثناء حفظ دائري. %1"
"Title can not be blank.", "العنوان لا يمكن أن تكون فارغة."
"Please select atleast one image.", "حدد على الأقل صورة واحدة."
"Please select atleast one product.", "الرجاء اختيار منتج واحد على الأقل."
"Carousel image could not be deleted.", "صورة دائري لا يمكن حذفها."
"Carousel image has been deleted.", "دائري صورة تم حذفها."
"Requested carousel image doesn't exist", "طلب دائري صورة لا وجود لها"
"Something went wrong while editing the carousel image.", "حدث خطأ أثناء تحرير دائري الصورة."
"New Carousel image", "جديد دائري صورة"
"Manage Carousel Images", "إدارة الصور دائري"
"You saved the carousel image.", "يمكنك حفظ صورة دائري."
"Something went wrong while saving the carousel image. %1", "حدث خطأ أثناء حفظ صورة دائري. %1"
"Please upload carousel image.", "يرجى تحميل صورة دائري."
"Carousel image type or id should be set.", "دائري نوع الصورة أو الهوية."
"Category image record could not be deleted.", "فئة صورة قياسية لا يمكن حذفها."
"Category image record has been deleted.", "فئة صورة السجل قد تم حذفه."
"Requested categoryimages doesn"t exist", "طلب categoryimages لا توجد"
"Something went wrong while editing the category image.", "حدث خطأ أثناء تحرير فئة الصورة."
"New Category Image", "فئة جديدة صورة"
"Category Image", "فئة الصورة"
"Manage Category's Banners and Icons", "إدارة الفئة الرايات والرموز"
"You saved the category image.", "يمكنك حفظ الصورة الفئة."
"Something went wrong while saving the category images. %1", "حدث خطأ أثناء حفظ فئة الصور. %1"
"Please upload category icon image.", "يرجى تحميل فئة رمز الصورة."
"Please upload category banner image.", "يرجى الفئة تحميل صورة الشعار."
"Category id should be set.", "معرف الفئة."
"Cache cleared successfully", "ذاكرة التخزين المؤقت مسح بنجاح"
"Featuredcategories could not be deleted.", "Featuredcategories لا يمكن حذفها."
"Featuredcategories has been deleted.", "Featuredcategories قد تم حذفه."
"Requested featuredcategories doesn't exist", "طلب featuredcategories لا وجود لها"
"Something went wrong while editing the featuredcategories.", "حدث خطأ أثناء تحرير featuredcategories."
"New Featuredcategories", "جديد Featuredcategories"
"Featuredcategories", "Featuredcategories"
"Manage Featured Categories", "إدارة فئات مميزة"
"A total of %1 Featuredcategory(ies) were deleted.", "مجموع من %1 Featuredcategory(المنشأ) تم حذفها."
"You saved the featured categories.", "لقد أنقذت الفئات المميزة."
"Something went wrong while saving the featuredcategories. %1", "حدث خطأ أثناء حفظ featuredcategories. %1"
"Please upload featuredcategories image.", "يرجى تحميل featuredcategories الصورة."
"Category not selected.", "الفئة لا مختارة."
"Notification could not be deleted.", "إعلام لا يمكن حذفها."
"Notification has been deleted.", "الإخطار قد تم حذفه."
"Requested notification doesn't exist", "طلب إعلام لا وجود لها"
"Something went wrong while editing the notification.", "حدث خطأ أثناء تحرير الإخطار."
"New Notification", "إعلام جديد"
"Notification", "إعلام"
"Yes", "نعم"
"No", "لا"
"Manage Notifications", "إدارة الإخطارات"
"Please add Notification API key in Configuration.", "يرجى إضافة الإخطار مفتاح API في التكوين."
"Please add Android Topic in Configuration.", "يرجى إضافة الروبوت الموضوع في التكوين."
"Please add IOS Topic in Configuration.", "يرجى إضافة IOS الموضوع في التكوين."
"Sorry something went wrong.", "عذرا حدث خطأ ما."
"Total %1 notification(s) has been pushed successfully.", "المجموع %1 الإخطار(s) وقد دفعت بنجاح."
"Notification pushed successfully for android.", "إعلام دفع بنجاح لالروبوت."
"Sorry something went wrong for android.", "عذرا حدث خطأ لالروبوت."
"Notification pushed successfully for iOS.", "إعلام دفع بنجاح على دائرة الرقابة الداخلية."
"Sorry something went wrong for iOS.", "عذرا حدث خطأ لدائرة الرقابة الداخلية."
"Invalid Notification.", "صالح الإخطار."
"Please choose product attribute.", "يرجى اختيار المنتج السمة."
"Please provide few product ids.", "يرجى تقديم بعض معرفات المنتج."
"Please provide product count.", "يرجى تقديم المنتج العد."
"You saved the notification.", "أنقذت الإخطار."
"Something went wrong while saving the notification. %1", "حدث خطأ أثناء حفظ الإخطار. %1"
"Please upload notification image.", "يرجى تحميل الإخطار صورة."
"Notification type or id should be set.", "نوع الإشعار أو معرف."
"Please create rule for custom collection.", "يرجى إنشاء قاعدة مجموعة مخصصة."
"Please select atleast one attribute.", "يرجى تحديد سمة واحدة على الأقل."
"Please choose atleast one product.", "يرجى اختيار منتج واحد على الأقل."
"Please provide valid count.", "يرجى تقديم صالحة العد."
"Mobikul Order History", "Mobikul تاريخ النظام"
"%1 and above", "%1 وما فوق"
"%1 - %2", "%1 - %2"
"In stock", "في الأوراق المالية"
"Out of stock", "من المخزون"
"Product", "المنتج"
"Category", "الفئة"
"Unable to remove banner image with id %1", "غير قادر على إزالة صورة لافتة مع معرف %1"
"Unable to remove cache with id %1", "غير قادر على إزالة ذاكرة التخزين المؤقت مع معرف %1"
"Image Type", "نوع الصورة"
"Unable to remove carousel with id %1", "غير قادر على إزالة دائري مع معرف %1"
"Unable to remove carousel image with id %1", "غير قادر على إزالة صورة دائري مع معرف %1"
"Unable to remove categoryimages record with id %1", "غير قادر على إزالة categoryimages سجل مع معرف %1"
"2-D Model", "2-نموذج د"
"3-D Model", "3-نموذج د"
"Unable to remove featuredcategories record with id %1", "غير قادر على إزالة featuredcategories سجل مع معرف %1"
"Others", "الآخرين"
"Custom Collection", "مجموعة مخصصة"
"Unable to remove notification record with id %1", "غير قادر على إزالة الإخطار سجل مع معرف %1"
"Your order status changed to", "حالة طلبك تغيير"
"Order Status Changed!!", "من أجل تغيير الوضع!!"
"Order Placed Successfully!!", "ترتيب وضعها بنجاح!!"
"Your order status is", "حالة الأمر"
"View", "عرض"
"All Store Views", "كل متجر وجهات النظر"
"Edit", "تحرير"
"Applicable only when "Carousel Type" is selected as "Image Type"", "لا ينطبق إلا عندما دائري نوع هو اختيار نوع الصورة"
"Applicable only when "Carousel Type" is selected as "Product Type"", "لا ينطبق إلا عندما دائري نوع يتم اختياره حسب نوع المنتج"
"Delete", "حذف"
"Allowed file type: png, jpg, jpeg.", "سمح نوع الملف: png, jpg, jpeg."
"Add More", "إضافة المزيد من"
"Works only when custom collection is selected as notification type.", "يعمل فقط عندما عرف مجموعة من تحديد نوع الإشعار."
"Create Product Collection Based on", "إنشاء جمع المنتج على أساس"
"Please choose a rule to add...", "يرجى اختيار قاعدة لإضافة..."
"Product Attribute Assigned", "المنتج السمة المخصصة"
"Products ids", "المنتجات معرفات"
"Newly Added Products with count", "المضافة حديثا المنتجات مع العد"
"Add multiple filter attributes to product collection", "إضافة متعددة تصفية سمات المنتج مجموعة"
"Add", "إضافة"
"Select or Enter Product ids (comma separated)", "تحديد أو إدخال معرفات المنتج (مفصولة بفواصل)"
"Open Chooser", "فتح مختار"
"Apply", "تطبيق"
"Please enter the count of newly added products to display in collection", "يرجى إدخال عدد من المضافة حديثا المنتجات لعرضها في جمع"
"Remove", "إزالة"
"Texture Image", "صورة الملمس"
"Are you sure !", "هل أنت متأكد !"
"Are you sure you want to do this?", "هل أنت متأكد من أنك تريد فعل هذا ؟ "
"Ar model file for android must have sfb extension.", "ع نموذج ملف الروبوت يجب أن يكون sfb التمديد."
"Ar model file for android must have obj extension.", "ع نموذج ملف الروبوت يجب أن يكون obj التمديد."
"Ar 2D model file must have png extension.", "ع 2D نموذج الملف يجب أن يكون امتداد png."
"Wrong file type given in category banner image.", "الخطأ نوع ملف معين في فئة صورة الشعار."
"Wrong file type given in texture image.", "الخطأ نوع ملف معين في نسيج الصورة."
"Webkul", "Webkul"
"Mobikul", "Mobikul"
"Mobikul Basic Configuration", "Mobikul التكوين الأساسي"
"Username", "اسم المستخدم"
"Password", "كلمة المرور"
"Collection Page Size", "مجموعة حجم الصفحة"
"Enable random featured product in home page?", "تمكين عشوائية المنتج المميز في المنزل الصفحة ؟ "
"Allowed CMS Pages", "يسمح صفحات CMS"
"Splash Screen image", "شاشة البداية صورة"
"FCM Push Notification Parameters", "FCM إعلام دفع المعلمات"
"API key", "مفتاح API"
"Android Topic", "الروبوت الموضوع"
"iOS Topic", "دائرة الرقابة الداخلية الموضوع"
"Mobikul Catalog Search Configuration", "Mobikul البحث التسويقي التكوين"
"Dispaly Tags in Search", "ديسبالي الكلمات في البحث"
"Number of Tags to display in Search", "عدد من العلامات عرض في البحث"
"Dispaly Products in Search", "ديسبالي المنتجات في البحث"
"Number of Products to display in Search", "عدد المنتجات المعروضة في البحث"
"Application Download from Website", "تحميل التطبيق من الموقع"
"Enable android application download", "تمكين الروبوت التطبيق تحميل"
"Your application's, play store application link", "التطبيق الخاص بك, تلعب المتجر رابط التطبيق"
"Enable ios application download", "تمكين التطبيق دائرة الرقابة الداخلية تحميل"
"Your application's, app store application link", "التطبيق الخاص بك, التطبيق المتجر الرابط"
"Enable Top link", "تمكين كبار الرابط"
"Enable Bottom link", "تمكين الرابط أسفل"
"Choose Download link theme", "اختيار تحميل رابط الموضوع"
"Mobikul Api Cache Settings", "Mobikul Api إعدادات ذاكرة التخزين المؤقت"
"Enable Cache", "تمكين ذاكرة التخزين المؤقت"
"Refresh cache rate", "تحديث ذاكرة التخزين المؤقت المعدل"
"Clear Cache", "مسح ذاكرة التخزين المؤقت"
"Banner Information", "لافتة المعلومات"
"Sort Order", "ترتيب"
"Banner Type", "لافتة نوع"
"Product/Category Id", "المنتج/الفئة Id"
"Store View", "عرض متجر"
"Banner Status", "لافتة حالة"
"Add Images", "إضافة الصور"
"Disable", "تعطيل"
"Are you sure you wan't to disable selected records?", "هل أنت متأكد من أنك وان لا لتعطيل اختيار السجلات ؟ "
"Enable", "تمكين"
"Are you sure you wan't to enable selected records?", "هل أنت متأكد من أنك وان لا لتمكين اختيار السجلات ؟ "
"Are you sure you wan't to delete selected records?", "هل أنت متأكد من أنك وان لا حذف اختيار السجلات ؟ "
"Image", "صورة"
"Carousel Information", "دائري المعلومات"
"Carousel Type", "دائري نوع"
"Background Color code (hexadecimal)", "لون الخلفية التعليمات البرمجية (سداسي عشري)"
"Carousel Image Status", "دائري صورة الوضع"
"Assign Carousel Images", "تعيين الصور دائري"
"Assign Carousel Products", "تعيين دائري المنتجات"
"Add Carousel", "إضافة دائري"
"Type", "نوع"
"Carousel Image Information", "صورة دائري المعلومات"
"Carousel Image Type", "دائري نوع الصورة"
"Category Image Information", "فئة صورة المعلومات"
"Categories", "فئات"
"Banner", "لافتة ، "
"Icon Image", "أيقونة الصورة"
"Category Id", "الفئة Id"
"Category Name", "اسم الفئة"
"Featured Category Information", "الفئة المميزة المعلومات"
"Featured Category Information", "الفئة المميزة المعلومات"
"Featured Category Status", "الفئة المميزة مركز"
"Add Featured Category", "إضافة الفئة المميزة"
"Notification Information", "معلومات الإعلام"
"Notification Title", "إعلام العنوان"
"Notification Content", "محتوى الإشعارات"
"Notification Type", "نوع الإشعار"
"Valid only in case of product and category", "صالحة فقط في حالة المنتج الفئة"
"Notification Status", "حالة الإخطار"
"Custom Collection Notfication", "مجموعة مخصصة Notfication"
"Add Notification", "إضافة الإخطار"
"Push", "دفع"
"Confirm Push Notification", "تأكيد إعلام دفع"
"Are you sure you want to send push notifications?", "هل أنت متأكد من أنك تريد أن ترسل دفع الإخطارات ؟ "
"Created", "خلق"
"Modified", "تعديل"
"Order Id", "معرف الطلب"
"Customer Name", "اسم العميل"
"Store Id", "تخزين معرف"
"Grand Total", "المجموع الكلي"
"Created At", "التي تم إنشاؤها في"
