"Invalid Request.","Invalid Request."
"The shipment no longer exists.","The shipment no longer exists."
"You are not authorize to view this shipment.","You are not authorize to view this shipment."
"This order no longer exists.","This order no longer exists."
"You are not authorize to manage this order.","You are not authorize to manage this order."
"invalid seller","invalid seller"
"Please specify a carrier.","Please specify a carrier."
"Please enter a tracking number.","Please enter a tracking number."
"Tracking information has been successfully saved.","Tracking information has been successfully saved."
"We can't initialize shipment for adding tracking number.","We can't initialize shipment for adding tracking number."
"Invalid Request","Invalid Request"
"Congratulations! Your seller account is created.","Congratulations! Your seller account is created."
"Your request to become seller is successfully raised.","Your request to become seller is successfully raised."
"Shop URL already exist please set another.","Shop URL already exist please set another."
"Your mail has been sent.","Your mail has been sent."
"The credit memo's total must be positive.","The credit memo's total must be positive."
"Cannot create online refund for Refund to Store Credit.","Cannot create online refund for Refund to Store Credit."
"You created the credit memo.","You created the credit memo."
"We can't save the credit memo right now.","We can't save the credit memo right now."
"Can not create invoice as order is in HOLD state","Can not create invoice as order is in HOLD state"
"you are not authorize to create invoice","you are not authorize to create invoice"
"We can't save the invoice right now.","We can't save the invoice right now."
"You can't create an invoice without products.","You can't create an invoice without products."
"Invoice has been created for this order.","Invoice has been created for this order."
"You cannot create invoice for this order.","You cannot create invoice for this order."
"Cannot create Invoice for this order.","Cannot create Invoice for this order."
"Can not create shipment as order is in HOLD state","Can not create shipment as order is in HOLD state"
"Cannot do shipment for the order separately from invoice.","Cannot do shipment for the order separately from invoice."
"Cannot do shipment for the order.","Cannot do shipment for the order."
"The shipment has been created.","The shipment has been created."
"The shipping label has been created.","The shipping label has been created."
"New Credit Memo","New Credit Memo"
"Order #%1","Order #%1"
"Buyer Information","Buyer Information"
"Customer Name","Customer Name"
Email,Email
"Order Information","Order Information"
"Shipping Address","Shipping Address"
"Shipping Method","Shipping Method"
"No shipping information available","No shipping information available"
"Billing Address","Billing Address"
"Payment Method","Payment Method"
"ITEMS TO REFUND","ITEMS TO REFUND"
"Product Name","Product Name"
Price,Price
Qty,Qty
"Return to Stock","Return to Stock"
"Qty to Refund","Qty to Refund"
Subtotal,Subtotal
"COD Charges","COD Charges"
"Tax Amount","Tax Amount"
"Discount Amount","Discount Amount"
"Row Total","Row Total"
Ordered,Ordered
Invoiced,Invoiced
Shipped,Shipped
Canceled,Canceled
Refunded,Refunded
"Paid Amount","Paid Amount"
"Refund Amount","Refund Amount"
"Shipping Amount","Shipping Amount"
"Shipping Refund","Shipping Refund"
"Order Grand Total","Order Grand Total"
"Credit Memo Comments","Credit Memo Comments"
"Refund Totals","Refund Totals"
Discount,Discount
"Total Tax","Total Tax"
"Refund Shipping","Refund Shipping"
"Adjustment Refund","Adjustment Refund"
"Adjustment Fee","Adjustment Fee"
"Grand Total","Grand Total"
"Append Comments","Append Comments"
"Visible on Frontend","Visible on Frontend"
"Email Copy of Credit Memo","Email Copy of Credit Memo"
Refund,Refund
"Refund Offline","Refund Offline"
"Creditmemo List","Creditmemo List"
"View All Memos","View All Memos"
Status,Status
Amount,Amount
Action,Action
"Created At","Created At"
"Credit Memos #","Credit Memos #"
"Tracking information has been successfulley deleted.","Tracking information has been successfulley deleted."
"We can't load track with retrieving identifier right now.","We can't load track with retrieving identifier right now."
"There are no printable documents related to selected date range.","There are no printable documents related to selected date range."
"We can't print the shipment right now.","We can't print the shipment right now."
None,None
"%1 Products","%1 Products"
"Failed to print the creditmemo.","Failed to print the creditmemo."
"The creditmemo no longer exists.","The creditmemo no longer exists."
"You are not authorize to view this creditmemo.","You are not authorize to view this creditmemo."
"Failed to print the invoice.","Failed to print the invoice."
"The invoice no longer exists.","The invoice no longer exists."
"You are not authorize to view this invoice.","You are not authorize to view this invoice."
"Failed to print the Shipping.","Failed to print the Shipping."
"Product has been successfully deleted from your account.","Product has been successfully deleted from your account."
"Invalid Product.","Invalid Product."
"Products are successfully deleted from your account.","Products are successfully deleted from your account."
Enabled,Enabled
Disabled,Disabled
Approved,Approved
Pending,Pending
"Information was successfully saved","Information was successfully saved"
"Profile information was successfully saved, except image(s).","Profile information was successfully saved, except image(s)."
"Profile information was successfully saved.","Profile information was successfully saved."
"Twitterid cannot contain space and special characters, allowed special carecters are @,#,_,-","Twitterid cannot contain space and special characters, allowed special carecters are @,#,_,-"
"Facebookid cannot contain space and special characters, allowed special carecters are @,#,_,-","Facebookid cannot contain space and special characters, allowed special carecters are @,#,_,-"
"Instagram ID cannot contain space and special characters, allowed special carecters are @,#,_,-","Instagram ID cannot contain space and special characters, allowed special carecters are @,#,_,-"
"Google Plus ID cannot contain space and special characters, allowed special carecters are @,#,_,-","Google Plus ID cannot contain space and special characters, allowed special carecters are @,#,_,-"
"Youtube ID cannot contain space and special characters, allowed special carecters are @,#,_,-","Youtube ID cannot contain space and special characters, allowed special carecters are @,#,_,-"
"Vimeo ID cannot contain space and special characters, allowed special carecters are @,#,_,-","Vimeo ID cannot contain space and special characters, allowed special carecters are @,#,_,-"
"Pinterest ID cannot contain space and special characters, allowed special carecters are @,#,_,-","Pinterest ID cannot contain space and special characters, allowed special carecters are @,#,_,-"
"Tax/VAT Number cannot contain space and special characters","Tax/VAT Number cannot contain space and special characters"
"Invalid Background Color","Invalid Background Color"
"Your Review was successfully saved","Your Review was successfully saved"
"The message has been sent.","The message has been sent."
"Failed to send the invoice email.","Failed to send the invoice email."
"You sent the order email.","You sent the order email."
"Failed to send the Shipping email.","Failed to send the Shipping email."
"Tracking Information","Tracking Information"
"There is no tracking available.","There is no tracking available."
"Shipment #","Shipment #"
"Tracking Number:","Tracking Number:"
Carrier:,Carrier:
Error:,Error:
"Tracking information is currently not available. Please ","Tracking information is currently not available. Please "
"contact us","contact us"
" for more information or "," for more information or "
"email us at ","email us at "
Info:,Info:
Track:,Track:
". ':'",". ':'"
"Delivered on:","Delivered on:"
N/A,N/A
"There is no tracking available for this shipment.","There is no tracking available for this shipment."
"View Memo","View Memo"
"Creditmemo #%1","Creditmemo #%1"
"Send Email To Customer","Send Email To Customer"
"Are you sure you want to send credit memo email to customer?","Are you sure you want to send credit memo email to customer?"
Print,Print
"Order # %1","Order # %1"
"Order Status","Order Status"
"Order Date","Order Date"
"Address Information","Address Information"
"Payment & Shipping Method","Payment & Shipping Method"
"Payment Information","Payment Information"
"Shipping and Tracking Information","Shipping and Tracking Information"
"Items Refunded","Items Refunded"
"Shipping & Handling","Shipping & Handling"
"Total COD Charges","Total COD Charges"
Paid,Paid
"View Invoice Details","View Invoice Details"
"Invoice #%1","Invoice #%1"
"Send Email","Send Email"
"Are you sure you want to send invoice email to customer?","Are you sure you want to send invoice email to customer?"
"Print Invoice","Print Invoice"
"Invoice Slip","Invoice Slip"
"Items Invoiced","Items Invoiced"
"View Shipment Details","View Shipment Details"
"Shipment #%1","Shipment #%1"
"Send Tracking Information","Send Tracking Information"
"Are you sure you want to send shipment email to customer?","Are you sure you want to send shipment email to customer?"
"Print Shipment","Print Shipment"
"Shipment Slip","Shipment Slip"
"Track this shipment","Track this shipment"
"Items Shipped","Items Shipped"
"The order has been cancelled.","The order has been cancelled."
"You are not permitted to cancel this order.","You are not permitted to cancel this order."
"Failed to send the creditmemo email.","Failed to send the creditmemo email."
"Could not get preview image information. Please check your connection and try again.","Could not get preview image information. Please check your connection and try again."
"SKU Already Exist","SKU Already Exist"
"SKU Available","SKU Available"
"Invalid Seller","Invalid Seller"
"File has been successfully uploaded","File has been successfully uploaded"
"In Stock","In Stock"
"Out of Stock","Out of Stock"
"Product does not exists.","Product does not exists."
"Attribute Code already exists","Attribute Code already exists"
"Attribute code '%1' is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code '%1' is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Attribute Created Successfully","Attribute Created Successfully"
"Your product has been successfully saved","Your product has been successfully saved"
"Name has to be completed","Name has to be completed"
"Description has to be completed","Description has to be completed"
"Price should contain only decimal numbers","Price should contain only decimal numbers"
"Weight should contain only decimal numbers","Weight should contain only decimal numbers"
"Product quantity should contain only decimal numbers","Product quantity should contain only decimal numbers"
"Sku Type has to be selected","Sku Type has to be selected"
"Sku has to be completed","Sku has to be completed"
"Price Type has to be selected","Price Type has to be selected"
"Weight Type has to be selected","Weight Type has to be selected"
"Default Title has to be completed","Default Title has to be completed"
"Allowed Product Cart Limit Qty should contain only decimal numbers","Allowed Product Cart Limit Qty should contain only decimal numbers"
"Image has been successfully uploaded","Image has been successfully uploaded"
January,January
February,February
March,March
April,April
May,May
June,June
July,July
August,August
September,September
October,October
November,November
December,December
"Order status is ","Order status is "
"Someone bought your product!!","Someone bought your product!!"
"Congratulations, your product has been approved now.","Congratulations, your product has been approved now."
"Product approved.","Product approved."
"Congratulations, You are approved as seller.","Congratulations, You are approved as seller."
"You are approved as Seller.","You are approved as Seller."
"positive feedback","positive feedback"
"%1 ratings","%1 ratings"
Value,Value
Quality,Quality
Webkul,Webkul
"Seller Admin Chat","Seller Admin Chat"
"Admin Details For Chat","Admin Details For Chat"
"Admin Email Address(as customer)","Admin Email Address(as customer)"
